Año;Departamento;Municipio;Grupo Etario;Sexo;Casos
2012;IZABAL;MORALES;< 1 mes;Femenino;1
2012;IZABAL;PUERTO BARRIOS;< 1 mes;Femenino;2
2012;SAN MARCOS;OCÓS;< 1 mes;Femenino;1
2013;ALTA VERAPAZ;FRAY BARTOLOMÉ DE LAS CASAS;< 1 mes;Femenino;1
2013;GUATEMALA;GUATEMALA;< 1 mes;Femenino;1
2013;IZABAL;PUERTO BARRIOS;< 1 mes;Femenino;1
2014;BAJA VERAPAZ;SALAMÁ;< 1 mes;Femenino;1
2014;IZABAL;PUERTO BARRIOS;< 1 mes;Femenino;1
2014;QUETZALTENANGO;GÉNOVA;< 1 mes;Femenino;1
2015;ESCUINTLA;ESCUINTLA;< 1 mes;Femenino;2
2015;ESCUINTLA;SANTA LUCÍA COTZUMALGUAPA;< 1 mes;Femenino;1
2015;GUATEMALA;AMATITLÁN;< 1 mes;Femenino;4
2015;GUATEMALA;GUATEMALA;< 1 mes;Femenino;7
2015;GUATEMALA;MIXCO;< 1 mes;Femenino;1
2015;IZABAL;PUERTO BARRIOS;< 1 mes;Femenino;1
2015;SANTA ROSA;CHIQUIMULILLA;< 1 mes;Femenino;1
2016;GUATEMALA;GUATEMALA;< 1 mes;Femenino;2
2017;GUATEMALA;GUATEMALA;< 1 mes;Femenino;2
2017;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;1
2017;ZACAPA;ZACAPA;< 1 mes;Femenino;1
2018;GUATEMALA;GUATEMALA;< 1 mes;Femenino;4
2018;GUATEMALA;SAN MIGUEL PETAPA;< 1 mes;Femenino;1
2018;IZABAL;PUERTO BARRIOS;< 1 mes;Femenino;1
2018;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;3
2018;QUICHE;IXCÁN;< 1 mes;Femenino;1
2018;SANTA ROSA;CUILAPA;< 1 mes;Femenino;1
2019;ALTA VERAPAZ;RAXRUHA;< 1 mes;Femenino;1
2019;BAJA VERAPAZ;RABINAL;< 1 mes;Femenino;1
2019;BAJA VERAPAZ;SALAMÁ;< 1 mes;Femenino;1
2019;CHIQUIMULA;JOCOTÁN;< 1 mes;Femenino;1
2019;EL PETEN;POPTÚN;< 1 mes;Femenino;4
2019;EL PETEN;SAN BENITO;< 1 mes;Femenino;1
2019;ESCUINTLA;ESCUINTLA;< 1 mes;Femenino;1
2019;ESCUINTLA;TIQUISATE;< 1 mes;Femenino;1
2019;GUATEMALA;GUATEMALA;< 1 mes;Femenino;3
2019;GUATEMALA;MIXCO;< 1 mes;Femenino;1
2019;GUATEMALA;VILLA NUEVA;< 1 mes;Femenino;1
2019;HUEHUETENANGO;LA DEMOCRACIA;< 1 mes;Femenino;1
2019;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;1
2019;QUETZALTENANGO;EL PALMAR;< 1 mes;Femenino;2
2019;QUETZALTENANGO;FLORES COSTA CUCA;< 1 mes;Femenino;1
2019;QUETZALTENANGO;QUETZALTENANGO;< 1 mes;Femenino;1
2019;SAN MARCOS;EL TUMBADOR;< 1 mes;Femenino;1
2019;SANTA ROSA;CUILAPA;< 1 mes;Femenino;1
2019;SUCHITEPEQUEZ;MAZATENANGO;< 1 mes;Femenino;1
2020;EL PETEN;FLORES;< 1 mes;Femenino;1
2020;ESCUINTLA;ESCUINTLA;< 1 mes;Femenino;1
2020;ESCUINTLA;TIQUISATE;< 1 mes;Femenino;1
2020;JALAPA;JALAPA;< 1 mes;Femenino;1
2021;IZABAL;PUERTO BARRIOS;< 1 mes;Femenino;1
2022;EL PETEN;SAN ANDRÉS;< 1 mes;Femenino;1
2022;JALAPA;JALAPA;< 1 mes;Femenino;1
2022;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;1
2022;ZACAPA;ZACAPA;< 1 mes;Femenino;3
2023;CHIQUIMULA;CHIQUIMULA;< 1 mes;Femenino;2
2023;ESCUINTLA;ESCUINTLA;< 1 mes;Femenino;10
2023;ESCUINTLA;MASAGUA;< 1 mes;Femenino;1
2023;GUATEMALA;GUATEMALA;< 1 mes;Femenino;1
2023;GUATEMALA;MIXCO;< 1 mes;Femenino;1
2023;GUATEMALA;VILLA NUEVA;< 1 mes;Femenino;2
2023;IZABAL;EL ESTOR;< 1 mes;Femenino;1
2023;JALAPA;JALAPA;< 1 mes;Femenino;1
2023;JUTIAPA;JUTIAPA;< 1 mes;Femenino;6
2023;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;7
2023;QUICHE;CANILLÁ;< 1 mes;Femenino;1
2023;QUICHE;JOYABAJ;< 1 mes;Femenino;1
2023;SAN MARCOS;MALACATÁN;< 1 mes;Femenino;2
2023;SANTA ROSA;CUILAPA;< 1 mes;Femenino;4
2023;ZACAPA;ZACAPA;< 1 mes;Femenino;1
2024;ALTA VERAPAZ;COBÁN;< 1 mes;Femenino;1
2024;CHIMALTENANGO;CHIMALTENANGO;< 1 mes;Femenino;1
2024;CHIQUIMULA;CHIQUIMULA;< 1 mes;Femenino;2
2024;EL PETEN;DOLORES;< 1 mes;Femenino;1
2024;EL PROGRESO;GUASTATOYA;< 1 mes;Femenino;1
2024;ESCUINTLA;ESCUINTLA;< 1 mes;Femenino;5
2024;ESCUINTLA;TIQUISATE;< 1 mes;Femenino;2
2024;GUATEMALA;AMATITLÁN;< 1 mes;Femenino;4
2024;GUATEMALA;GUATEMALA;< 1 mes;Femenino;20
2024;GUATEMALA;PALENCIA;< 1 mes;Femenino;1
2024;GUATEMALA;VILLA CANALES;< 1 mes;Femenino;1
2024;HUEHUETENANGO;NENTÓN;< 1 mes;Femenino;1
2024;JUTIAPA;JUTIAPA;< 1 mes;Femenino;5
2024;QUETZALTENANGO;COATEPEQUE;< 1 mes;Femenino;5
2024;QUETZALTENANGO;GÉNOVA;< 1 mes;Femenino;1
2024;QUICHE;IXCÁN;< 1 mes;Femenino;1
2024;RETALHULEU;CHAMPERICO;< 1 mes;Femenino;1
2024;RETALHULEU;RETALHULEU;< 1 mes;Femenino;3
2024;SAN MARCOS;MALACATÁN;< 1 mes;Femenino;8
2024;SANTA ROSA;CHIQUIMULILLA;< 1 mes;Femenino;1
2024;SOLOLA;SANTIAGO ATITLÁN;< 1 mes;Femenino;1
2024;SUCHITEPEQUEZ;SAN MIGUEL PANÁN;< 1 mes;Femenino;1
2024;ZACAPA;ZACAPA;< 1 mes;Femenino;3
2012;ESCUINTLA;ESCUINTLA;< 1 mes;Masculino;1
2013;ESCUINTLA;SANTA LUCÍA COTZUMALGUAPA;< 1 mes;Masculino;1
2013;GUATEMALA;GUATEMALA;< 1 mes;Masculino;1
2013;GUATEMALA;VILLA NUEVA;< 1 mes;Masculino;1
2013;IZABAL;PUERTO BARRIOS;< 1 mes;Masculino;2
2013;QUETZALTENANGO;COATEPEQUE;< 1 mes;Masculino;1
2014;ESCUINTLA;ESCUINTLA;< 1 mes;Masculino;1
2014;GUATEMALA;GUATEMALA;< 1 mes;Masculino;2
2014;IZABAL;LIVINGSTON;< 1 mes;Masculino;1
2014;IZABAL;PUERTO BARRIOS;< 1 mes;Masculino;5
2014;QUETZALTENANGO;COATEPEQUE;< 1 mes;Masculino;2
2014;SAN MARCOS;AYUTLA;< 1 mes;Masculino;1
2014;SUCHITEPEQUEZ;MAZATENANGO;< 1 mes;Masculino;1
2015;BAJA VERAPAZ;RABINAL;< 1 mes;Masculino;2
2015;EL PETEN;SAYAXCHÉ;< 1 mes;Masculino;2
2015;ESCUINTLA;ESCUINTLA;< 1 mes;Masculino;2
2015;GUATEMALA;AMATITLÁN;< 1 mes;Masculino;1
2015;GUATEMALA;GUATEMALA;< 1 mes;Masculino;4
2015;GUATEMALA;MIXCO;< 1 mes;Masculino;2
2015;IZABAL;PUERTO BARRIOS;< 1 mes;Masculino;1
2015;QUETZALTENANGO;COATEPEQUE;< 1 mes;Masculino;1
2016;GUATEMALA;GUATEMALA;< 1 mes;Masculino;1
2016;IZABAL;PUERTO BARRIOS;< 1 mes;Masculino;1
2016;SUCHITEPEQUEZ;CUYOTENANGO;< 1 mes;Masculino;1
