municipality,department,total_cases
COATEPEQUE,QUETZALTENANGO,22599
GUATEMALA,GUATEMALA,20709
MIXCO,GUATEMALA,16607
JUTIAPA,JUTIAPA,15519
"ANTIGUA GUATEMALA",SACATEPEQUEZ,11088
ESCUINTLA,ESCUINTLA,9488
ZACAPA,ZACAPA,8034
"AMATITLÁN",GUATEMALA,7768
"POPTÚN","EL PETEN",7064
"SALAMÁ","BAJA VERAPAZ",7009
CHIQUIMULA,CHIQUIMULA,6657
JALAPA,JALAPA,6413
MAZATENANGO,SUCHITEPEQUEZ,6028
CUILAPA,"SANTA ROSA",5626
"MALACATÁN","SAN MARCOS",5582
"COBÁN","ALTA VERAPAZ",5488
"VILLA NUEVA",GUATEMALA,4875
"PUERTO BARRIOS",IZABAL,4640
RETALHULEU,RETALHULEU,4235
"SAN JUAN SACATEPÉQUEZ",GUATEMALA,3995
"SAN BENITO","EL PETEN",3798
CHIMALTENANGO,CHIMALTENANGO,3651
JOYABAJ,QUICHE,3471
GUASTATOYA,"EL PROGRESO",3196
RABINAL,"BAJA VERAPAZ",3114
JACALTENANGO,HUEHUETENANGO,2931
"GÉNOVA",QUETZALTENANGO,2786
"GUALÁN",ZACAPA,2777
"SAYAXCHÉ","EL PETEN",2703
TIQUISATE,ESCUINTLA,2699
"NUEVA SANTA ROSA","SANTA ROSA",2498
"FRAY BARTOLOMÉ DE LAS CASAS","ALTA VERAPAZ",2470
"SAN CRISTÓBAL VERAPAZ","ALTA VERAPAZ",2180
BARBERENA,"SANTA ROSA",2041
"FLORES COSTA CUCA",QUETZALTENANGO,2001
AYUTLA,"SAN MARCOS",1956
"VILLA CANALES",GUATEMALA,1934
"IXCÁN",QUICHE,1908
"SOLOLÁ",SOLOLA,1900
"LA TINTA","ALTA VERAPAZ",1819
"CANILLÁ",QUICHE,1808
PALENCIA,GUATEMALA,1798
MORALES,IZABAL,1768
CHINAUTLA,GUATEMALA,1741
COLOMBA,QUETZALTENANGO,1729
ESQUIPULAS,CHIQUIMULA,1717
"ASUNCIÓN MITA",JUTIAPA,1708
"SAN MIGUEL USPANTÁN",QUICHE,1687
"SAN LUIS JILOTEPEQUE",JALAPA,1683
YEPOCAPA,CHIMALTENANGO,1648
CUILCO,HUEHUETENANGO,1609
"LA DEMOCRACIA",HUEHUETENANGO,1606
"SAN JOSÉ DEL GOLFO",GUATEMALA,1606
"CHICAMÁN",QUICHE,1581
"EL PALMAR",QUETZALTENANGO,1578
"LA LIBERTAD","EL PETEN",1520
"EL TUMBADOR","SAN MARCOS",1485
"SAN LUIS","EL PETEN",1458
"SAN PEDRO CARCHÁ","ALTA VERAPAZ",1454
GRANADOS,"BAJA VERAPAZ",1437
DOLORES,"EL PETEN",1383
CUBULCO,"BAJA VERAPAZ",1344
"EL ESTOR",IZABAL,1332
"JOCOTÁN",CHIQUIMULA,1318
HUEHUETENANGO,HUEHUETENANGO,1314
"SAN JOSÉ PINULA",GUATEMALA,1299
"CAMOTÁN",CHIQUIMULA,1271
"NUEVA CONCEPCIÓN",ESCUINTLA,1259
"SAN ANTONIO HUISTA",HUEHUETENANGO,1255
"SAN JERÓNIMO","BAJA VERAPAZ",1249
SACAPULAS,QUICHE,1216
"CAHABÓN","ALTA VERAPAZ",1178
"PALÍN",ESCUINTLA,1152
ZACUALPA,QUICHE,1150
MASAGUA,ESCUINTLA,1145
"SANTA LUCÍA COTZUMALGUAPA",ESCUINTLA,1145
"SAN ANDRÉS VILLA SECA",RETALHULEU,1142
CASILLAS,"SANTA ROSA",1139
"SANTA CRUZ VERAPAZ","ALTA VERAPAZ",1139
CHAHAL,"ALTA VERAPAZ",1129
QUETZALTEPEQUE,CHIQUIMULA,1122
"SANTIAGO ATITLÁN",SOLOLA,1083
PANAJACHEL,SOLOLA,1057
BARILLAS,HUEHUETENANGO,1056
"SAN MIGUEL CHICAJ","BAJA VERAPAZ",1051
"TECULUTÁN",ZACAPA,1051
LIVINGSTON,IZABAL,1044
"SAN RAFAEL LAS FLORES","SANTA ROSA",1043
FRAIJANES,GUATEMALA,994
"PUERTO DE SAN JOSÉ",ESCUINTLA,988
"SAN PEDRO AYAMPUC",GUATEMALA,981
"AGUACATÁN",HUEHUETENANGO,961
"SANTA CATARINA PINULA",GUATEMALA,953
"LA UNIÓN",ZACAPA,943
"SAN PEDRO NECTA",HUEHUETENANGO,865
"SAN PABLO","SAN MARCOS",851
