year,municipality,total_cases
2012,"AGUA BLANCA",2
2012,ALOTENANGO,4
2012,"AMATITLÁN",494
2012,"ANTIGUA GUATEMALA",68
2012,"ASUNCIÓN MITA",31
2012,ATESCATEMPA,18
2012,AYUTLA,110
2012,BARBERENA,9
2012,"CABAÑAS",8
2012,"CAHABÓN",2
2012,"CAMOTÁN",149
2012,"CANILLÁ",2
2012,CASILLAS,2
2012,CATARINA,9
2012,CHAHAL,18
2012,CHAMPERICO,25
2012,CHICACAO,1
2012,CHINAUTLA,8
2012,CHINIQUE,2
2012,CHIQUIMULA,355
2012,CHIQUIMULILLA,5
2012,CHUARRANCHO,4
2012,"CIUDAD VIEJA",2
2012,COATEPEQUE,424
2012,"COBÁN",45
2012,COLOMBA,61
2012,COMAPA,9
2012,"CONCEPCIÓN LAS MINAS",16
2012,CUBULCO,11
2012,CUILAPA,164
2012,CUYOTENANGO,15
2012,DOLORES,4
2012,"EL ADELANTO",23
2012,"EL ASINTAL",25
2012,"EL CHAL",21
2012,"EL CHOL",4
2012,"EL ESTOR",103
2012,"EL JÍCARO",34
2012,"EL PALMAR",69
2012,"EL PROGRESO",34
2012,"EL QUETZAL",27
2012,"EL RODEO",1
2012,"EL TUMBADOR",22
2012,ESCUINTLA,851
2012,ESQUIPULAS,33
2012,ESTANZUELA,45
2012,FLORES,11
2012,"FLORES COSTA CUCA",82
2012,"FRAY BARTOLOMÉ DE LAS CASAS",553
2012,GRANADOS,3
2012,"GUALÁN",49
2012,GUANAGAZAPA,14
2012,GUASTATOYA,100
2012,GUATEMALA,141
2012,"GUAZACAPÁN",7
2012,"GÉNOVA",120
2012,"HUITÉ",9
2012,IPALA,24
2012,"IXCÁN",81
2012,IZTAPA,34
2012,JALAPA,8
2012,JALPATAGUA,7
2012,JEREZ,3
2012,"JOCOTÁN",140
2012,JUTIAPA,722
2012,"LA DEMOCRACIA",23
2012,"LA GOMERA",79
2012,"LA REFORMA",6
2012,"LA UNIÓN",1
2012,"LANQUÍN",1
2012,"LAS CRUCES",3
2012,LIVINGSTON,27
2012,"LOS AMATES",119
2012,"MALACATÁN",11
2012,MASAGUA,61
2012,MATAQUESCUINTLA,1
2012,MAZATENANGO,80
2012,"MELCHOR DE MENCOS",19
2012,MIXCO,71
2012,MONJAS,1
2012,MORALES,292
2012,"MORAZÁN",25
2012,"NAHUALÁ",4
2012,NEBAJ,2
2012,"NENTÓN",14
2012,"NUEVA CONCEPCIÓN",86
2012,"NUEVA SANTA ROSA",7
2012,"NUEVO PROGRESO",19
2012,"NUEVO SAN CARLOS",11
2012,"OCÓS",67
2012,OLOPA,23
2012,ORATORIO,4
2012,PAJAPITA,26
2012,PALENCIA,9
2012,"PALESTINA DE LOS ALTOS",2
2012,"PALÍN",85
2012,PANAJACHEL,1
2012,PANZOS,59
2012,PATULUL,5
2012,"PATZÚN",4
2012,"POPTÚN",41
2012,"PUEBLO NUEVO VIÑAS",17
2012,"PUERTO BARRIOS",403
2012,"PUERTO DE SAN JOSÉ",60
2012,QUETZALTEPEQUE,22
2012,QUEZADA,29
2012,RABINAL,13
2012,RAXRUHA,35
2012,RETALHULEU,438
2012,"RÍO BRAVO",3
2012,"RÍO HONDO",21
2012,SACAPULAS,1
2012,"SALAMÁ",63
2012,SAMAYAC,3
2012,"SAN AGUSTÍN ACASAGUASTLÁN",7
2012,"SAN ANDRÉS ITZAPA",1
2012,"SAN ANDRÉS VILLA SECA",166
2012,"SAN ANTONIO HUISTA",1
2012,"SAN ANTONIO LA PAZ",11
2012,"SAN ANTONIO SUCHITEPÉQUEZ",11
2012,"SAN BARTOLOMÉ JOCOTENANGO",1
2012,"SAN BENITO",15
2012,"SAN BERNARDINO",1
2012,"SAN CRISTÓBAL ACASAGUASTLÁN",48
2012,"SAN CRISTÓBAL VERAPAZ",1
2012,"SAN DIEGO",14
2012,"SAN FELIPE",11
2012,"SAN FRANCISCO ZAPOTITLÁN",10
2012,"SAN GABRIEL",9
2012,"SAN JACINTO",25
