year,municipality,department,total_cases
2012,ESCUINTLA,ESCUINTLA,851
2012,JUTIAPA,JUTIAPA,722
2012,ZACAPA,ZACAPA,716
2012,"FRAY BARTOLOMÉ DE LAS CASAS","ALTA VERAPAZ",553
2012,"AMATITLÁN",GUATEMALA,494
2012,RETALHULEU,RETALHULEU,438
2012,COATEPEQUE,QUETZALTENANGO,424
2012,"PUERTO BARRIOS",IZABAL,403
2012,CHIQUIMULA,CHIQUIMULA,355
2012,TIQUISATE,ESCUINTLA,332
2012,MORALES,IZABAL,292
2012,"SAN ANDRÉS VILLA SECA",RETALHULEU,166
2012,CUILAPA,"SANTA ROSA",164
2012,"CAMOTÁN",CHIQUIMULA,149
2012,GUATEMALA,GUATEMALA,141
2012,"JOCOTÁN",CHIQUIMULA,140
2012,"GÉNOVA",QUETZALTENANGO,120
2012,"LOS AMATES",IZABAL,119
2012,AYUTLA,"SAN MARCOS",110
2012,"EL ESTOR",IZABAL,103
2012,GUASTATOYA,"EL PROGRESO",100
2012,"NUEVA CONCEPCIÓN",ESCUINTLA,86
2012,"TECULUTÁN",ZACAPA,85
2012,"PALÍN",ESCUINTLA,85
2012,"FLORES COSTA CUCA",QUETZALTENANGO,82
2012,"IXCÁN",QUICHE,81
2012,MAZATENANGO,SUCHITEPEQUEZ,80
2012,"LA GOMERA",ESCUINTLA,79
2012,"SAN LORENZO",SUCHITEPEQUEZ,79
2012,"VILLA NUEVA",GUATEMALA,78
2012,MIXCO,GUATEMALA,71
2012,"EL PALMAR",QUETZALTENANGO,69
2012,"ANTIGUA GUATEMALA",SACATEPEQUEZ,68
2012,"OCÓS","SAN MARCOS",67
2012,"SALAMÁ","BAJA VERAPAZ",63
2012,MASAGUA,ESCUINTLA,61
2012,COLOMBA,QUETZALTENANGO,61
2012,"PUERTO DE SAN JOSÉ",ESCUINTLA,60
2012,PANZOS,"ALTA VERAPAZ",59
2012,"SAN JERÓNIMO","BAJA VERAPAZ",56
2012,"SAN MIGUEL PETAPA",GUATEMALA,49
2012,"GUALÁN",ZACAPA,49
2012,"USUMATLÁN",ZACAPA,49
2012,"SAN CRISTÓBAL ACASAGUASTLÁN","EL PROGRESO",48
2012,"SAN LUIS","EL PETEN",46
2012,"COBÁN","ALTA VERAPAZ",45
2012,ESTANZUELA,ZACAPA,45
2012,"VILLA CANALES",GUATEMALA,42
2012,"POPTÚN","EL PETEN",41
2012,"SAN JOSÉ LA ARADA",CHIQUIMULA,41
2012,"SANTA CATARINA MITA",JUTIAPA,38
2012,RAXRUHA,"ALTA VERAPAZ",35
2012,"EL JÍCARO","EL PROGRESO",34
2012,IZTAPA,ESCUINTLA,34
2012,"EL PROGRESO",JUTIAPA,34
2012,ESQUIPULAS,CHIQUIMULA,33
2012,"SAN JORGE",ZACAPA,33
2012,"SAYAXCHÉ","EL PETEN",32
2012,"SAN JOSÉ DEL GOLFO",GUATEMALA,32
2012,"ASUNCIÓN MITA",JUTIAPA,31
2012,"SAN JOSÉ ACATEMPA",JUTIAPA,31
2012,"SANTA ANA","EL PETEN",30
2012,QUEZADA,JUTIAPA,29
2012,LIVINGSTON,IZABAL,27
2012,"EL QUETZAL","SAN MARCOS",27
2012,PAJAPITA,"SAN MARCOS",26
2012,"SAN MIGUEL CHICAJ","BAJA VERAPAZ",26
2012,CHAMPERICO,RETALHULEU,25
2012,"MORAZÁN","EL PROGRESO",25
2012,"SAN JACINTO",CHIQUIMULA,25
2012,"EL ASINTAL",RETALHULEU,25
2012,"SANTA LUCÍA COTZUMALGUAPA",ESCUINTLA,24
2012,IPALA,CHIQUIMULA,24
2012,"LA DEMOCRACIA",ESCUINTLA,23
2012,OLOPA,CHIQUIMULA,23
2012,"EL ADELANTO",JUTIAPA,23
2012,"EL TUMBADOR","SAN MARCOS",22
2012,QUETZALTEPEQUE,CHIQUIMULA,22
2012,"EL CHAL","EL PETEN",21
2012,"RÍO HONDO",ZACAPA,21
2012,"MELCHOR DE MENCOS","EL PETEN",19
2012,"NUEVO PROGRESO","SAN MARCOS",19
2012,"SAN MARTÍN ZAPOTITLÁN",RETALHULEU,19
2012,ATESCATEMPA,JUTIAPA,18
2012,CHAHAL,"ALTA VERAPAZ",18
2012,"SIQUINALÁ",ESCUINTLA,18
2012,"SAN PEDRO CARCHÁ","ALTA VERAPAZ",17
2012,"SANTA CRUZ MULÚA",RETALHULEU,17
2012,"PUEBLO NUEVO VIÑAS","SANTA ROSA",17
2012,TAXISCO,"SANTA ROSA",17
2012,"CONCEPCIÓN LAS MINAS",CHIQUIMULA,16
2012,"SAN BENITO","EL PETEN",15
2012,CUYOTENANGO,SUCHITEPEQUEZ,15
2012,YEPOCAPA,CHIMALTENANGO,15
2012,"NENTÓN",HUEHUETENANGO,14
2012,"SAN VICENTE PACAYA",ESCUINTLA,14
2012,"SAN DIEGO",ZACAPA,14
2012,GUANAGAZAPA,ESCUINTLA,14
2012,RABINAL,"BAJA VERAPAZ",13
2012,"SAN JUAN TECUACO","SANTA ROSA",13
2012,"SAN PABLO","SAN MARCOS",12
2012,FLORES,"EL PETEN",11
2012,"MALACATÁN","SAN MARCOS",11
2012,CUBULCO,"BAJA VERAPAZ",11
2012,"SAN SEBASTIÁN",RETALHULEU,11
2012,"NUEVO SAN CARLOS",RETALHULEU,11
2012,"SAN ANTONIO SUCHITEPÉQUEZ",SUCHITEPEQUEZ,11
2012,"SAN FELIPE",RETALHULEU,11
2012,"SAN ANTONIO LA PAZ","EL PROGRESO",11
2012,"SANTO TOMÁS LA UNIÓN",SUCHITEPEQUEZ,10
2012,"SAN FRANCISCO ZAPOTITLÁN",SUCHITEPEQUEZ,10
2012,PALENCIA,GUATEMALA,9
2012,"SAN PABLO JOCOPILAS",SUCHITEPEQUEZ,9
2012,BARBERENA,"SANTA ROSA",9
2012,"SANTA ANA HUISTA",HUEHUETENANGO,9
2012,CATARINA,"SAN MARCOS",9
2012,COMAPA,JUTIAPA,9
